first_name,last_name,date_of_birth,gender,nationality,club,licence,weapons,handedness,ranking,points
Lies,Aerts,1990-04-22,F,,Club Tournai,,foil,,30,
Loris,Baert,2011-10-13,M,BEL,Club Bruxelles,BEL-U-029,foil,R,29,
Yasmine,Baert,2003-10-19,F,,Club Antwerpen,,epee,,18,
Camille,Bastin,2011-12-14,F,BEL,Club A,,sabre,,5,
Emma,Bernard,2010-04-14,F,,Club Antwerpen,,epee,,2,
Philippe,Bernard,1966-01-30,M,BEL,Club Gent,,"sabre,foil,epee",,39,
Anne,Bertrand,1985-07-03,F,,Club A,,foil,,37,
Ethan,Bogaert,2009-02-27,M,BEL,Club Bruxelles,,sabre,,28,
Felix,Bogaert,2012-01-25,M,BEL,Club Bruxelles,BEL-U-010,foil,R,10,
Naomi,Bogaert,2004-02-28,F,,Club Bruxelles,,epee,,41,
Christine,Bogaerts,1975-08-09,F,,Club Liège,,foil,,44,
Roos,Brouwers,1999-11-26,F,,Club Antwerpen,,epee,,46,
Denis,Charlier,1977-02-17,M,BEL,Club Liège,,sabre,,45,
Emilie,Charlier,1998-07-20,F,,Atlas Fencing,,foil,,4,
Emma,Charlier,2012-06-25,F,BEL,Club Bruxelles,,sabre,,6,
Ines,Claes,2011-11-05,F,,Club Gent,,epee,,15,
Noah,Claes,2017-07-04,M,BEL,Club Gent,,sabre,,15,
Remi,Claes,2010-11-30,M,BEL,Club Liège,BEL-U-004,foil,L,4,
Griet,Claeys,1985-02-14,F,,Club Namur,,foil,,34,
Marc,Colignon,1978-04-11,M,BEL,Club Liège,,"sabre,foil",,35,
Sarah,Colignon,1991-08-23,F,BEL,Atlas Fencing,,sabre,,50,
Baptiste,Collignon,1997-05-05,M,BEL,Club Bruxelles,,sabre,,25,
Baptiste,Collin,2011-12-14,M,BEL,Club Liège,BEL-U-014,foil,R,14,
Nathalie,Collin,2001-01-09,F,,Club A,,epee,,12,
Stéphanie,Cools,1996-01-15,F,,Club Bruxelles,,foil,,17,
Dylan,Coppens,2012-11-22,M,BEL,Club Gent,BEL-U-028,foil,R,28,
Pascale,Cornet,1965-01-31,F,,Club Namur,,foil,,49,
Noah,De Backer,2011-04-17,M,BEL,Club Antwerpen,BEL-U-005,foil,R,5,
Anouk,De Smedt,2000-05-31,F,,Club Gent,,epee,,20,
Mathis,De Smet,2012-08-30,M,BEL,Club Tournai,,sabre,,10,
Robin,De Smet,2012-07-15,M,BEL,Club Antwerpen,BEL-U-019,foil,R,19,
Antoine,De Wolf,1998-07-22,M,BEL,Club Antwerpen,,sabre,,16,
Jules,Declercq,2008-05-19,M,BEL,Club Gent,,sabre,,13,
Sofie,Declercq,2007-03-29,F,,Club Liège,,epee,,21,
Wout,Declercq,2011-02-24,M,BEL,Club Antwerpen,BEL-U-032,foil,R,32,
Isabelle,Delcourt,1980-11-28,F,,Club Gent,,foil,,40,
Léo,Delcourt,2010-10-17,M,BEL,Club Liège,BEL-U-033,foil,R,33,
Brigitte,Delvaux,1975-03-25,F,,Club Antwerpen,,foil,,45,
Laurent,Desmet,1984-06-22,M,BEL,Club Tournai,,sabre,,43,
Nathalie,Desmet,1995-12-30,F,,Club Antwerpen,,foil,,25,
Tibo,Desmet,2010-09-21,M,BEL,Club Bruxelles,BEL-U-036,foil,R,36,
Charlotte,Dubois,2009-12-08,F,,Club A,,epee,,35,
Karel,Dubois,1990-10-25,M,BEL,Club Gent,,sabre,,31,
Patrick,Dubois,1960-08-03,M,BEL,Atlas Fencing,,sabre,,44,
Victor,Dubois,2012-05-27,M,BEL,Club Bruxelles,BEL-U-022,foil,R,22,
Alice,Dupont,2012-03-10,F,,Club Namur,BEL-001,foil,,5,
Amélie,Dupont,2013-03-12,F,,Club Namur,,epee,,3,
Lucas,Dupont,2010-03-14,M,BEL,Club Namur,BEL-U-001,foil,R,1,
Léa,Durand,2001-07-07,F,BEL,Club Bruxelles,,sabre,,34,
Bernard,Fontaine,1963-12-29,M,BEL,Club Namur,,sabre,,46,
Lore,Fontaine,2003-06-10,F,,Club Liège,,epee,,9,
Théo,Fontaine,2012-02-20,M,FRA,Club Bruxelles,FRA-U-016,foil,R,16,
Zoe,Fontaine,2016-11-20,F,BEL,Club A,,sabre,,4,
Matteo,Fontana,2012-08-13,M,BEL,Club Tournai,BEL-U-037,foil,R,37,
Clara,Gillain,2003-09-01,F,BEL,Club A,,sabre,,38,
Flore,Gilles,2001-07-14,F,,Club Namur,,epee,,43,
Samuel,Gilles,2010-12-01,M,BEL,Club Namur,BEL-U-024,foil,R,24,
Arnaud,Goffin,2011-04-08,M,BEL,Club Namur,BEL-U-035,foil,R,35,
Julie,Goossens,2011-08-03,F,,Club Tournai,,epee,,11,
Tom,Goossens,2015-05-22,M,BEL,Club Namur,,sabre,,19,
Lucie,Gosselin,2014-12-01,F,BEL,Club Liège,,sabre,,7,
Céline,Hermans,2004-08-06,F,,Club Gent,,epee,,33,
Daan,Hermans,2010-08-09,M,BEL,Club Liège,BEL-U-021,foil,R,21,
Jonas,Hermans,1996-06-09,M,BEL,Club Antwerpen,,sabre,,30,
Monique,Huygens,1970-10-07,F,,Club Tournai,,foil,,47,
Nathan,Jacobs,2010-10-17,M,BEL,Club Namur,,sabre,,9,
Nicolas,Jacobs,2010-04-26,M,BEL,Club Namur,BEL-U-018,foil,R,18,
Lars,Janssen,2004-02-14,M,BEL,Club Namur,,sabre,,32,
Marie,Janssen,2008-05-20,F,,Club Gent,,epee,,5,
Tom,Janssen,2010-07-22,M,BEL,Club Gent,BEL-U-002,foil,R,2,
Michel,Klein,1969-11-05,M,BEL,Club Bruxelles,,sabre,,42,
Elisa,Lambert,2008-10-11,F,,Club Bruxelles,,epee,,13,
Simon,Lambert,2007-11-02,M,BEL,Club Tournai,,sabre,,20,
Francine,Lambrecht,1965-09-14,F,,Club A,,foil,,50,
Maxime,Laurent,2010-09-05,M,BEL,Club Namur,BEL-U-006,foil,R,6,
Manon,Leclercq,2005-04-02,F,,Club Namur,,epee,,16,
Mathis,Leclercq,2010-10-07,M,BEL,Club Tournai,BEL-U-012,foil,R,12,
Sophie,Leclercq,2007-06-30,F,BEL,Club Liège,,sabre,,12,
Fiona,Lecomte,2013-09-18,F,,Club Bruxelles,,epee,,22,
Hugo,Lecomte,2010-02-11,M,BEL,Club Tournai,BEL-U-008,foil,R,8,
Marie,Lefebvre,1997-03-19,F,BEL,Club Tournai,,sabre,,36,
Véronique,Lemmens,1980-05-16,F,,Club Bruxelles,,foil,,42,
Julien,Leroy,2003-08-18,M,BEL,Atlas Fencing,,sabre,,26,
Ruben,Libert,2013-01-09,M,BEL,Club Gent,,sabre,,22,
Axel,Maes,2016-03-12,M,BEL,Club Namur,,sabre,,8,
Sylvie,Maes,2000-09-03,F,,Club Bruxelles,,epee,,28,
Florian,Marchal,2011-07-04,M,BEL,Club Tournai,BEL-U-026,foil,R,26,
Laura,Martens,2012-07-22,F,,Club A,,epee,,8,
Luca,Martens,2012-03-31,M,BEL,Club Gent,BEL-U-013,foil,R,13,
Antoine,Martin,2011-01-09,M,FRA,Club Bruxelles,FRA-U-003,foil,R,3,
Bob,Martin,2000-06-01,M,,Club Namur,BEL-002,foil,,12,
Jean,Mathieu,1971-09-24,M,BEL,Club Namur,,"sabre,epee",,37,
Delphine,Mertens,1996-08-29,F,,Club Gent,,foil,,14,
